Sample(20Hz),X_Pos,Y_Pos,Z_Pos,Roll,Pitch,Yaw
296,-0.5734,-0.0857,0.2481,3.0628,1.1066,1.199
297,-0.5746,-0.0853,0.2478,3.063,1.1123,1.1994
298,-0.5752,-0.0851,0.2476,3.063,1.1146,1.1995
299,-0.5754,-0.085,0.2475,3.0631,1.1158,1.1996
300,-0.5755,-0.085,0.2475,3.0631,1.1162,1.1996
301,-0.5756,-0.085,0.2475,3.0631,1.1165,1.1996
302,-0.5756,-0.085,0.2475,3.0631,1.1166,1.1997
303,-0.5756,-0.0849,0.2475,3.0631,1.1166,1.1997
304,-0.5756,-0.0849,0.2475,3.0631,1.1166,1.1997
305,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
306,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
307,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
308,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
309,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
310,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
311,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
312,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
313,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
314,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
315,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
316,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
317,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
318,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
319,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
320,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
321,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
322,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
323,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
324,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
325,-0.5756,-0.0849,0.2475,3.0631,1.1167,1.1997
